ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300731.SZ,20260224,66.77,68.76,64.5,64.5,66.3,-1.8,-2.7149,103841.58,683791.935
300731.SZ,20260225,63.78,66.9,63.78,66.08,64.5,1.58,2.4496,92129.0,602536.227
300731.SZ,20260226,66.0,69.49,62.18,67.53,66.08,1.45,2.1943,143012.0,942863.719
300731.SZ,20260227,66.65,72.44,66.16,69.43,67.53,1.9,2.8136,135721.8,943748.725
300731.SZ,20260302,71.37,83.32,70.74,79.86,69.43,10.43,15.0223,240943.0,1910569.827
300731.SZ,20260303,79.78,80.43,73.13,74.79,79.86,-5.07,-6.3486,175554.53,1322672.507
300731.SZ,20260304,73.71,79.66,73.71,75.74,74.79,0.95,1.2702,130318.83,998972.26
300731.SZ,20260305,78.0,79.0,73.2,74.13,75.74,-1.61,-2.1257,150379.92,1143450.462
300731.SZ,20260306,72.95,76.35,71.3,71.6,74.13,-2.53,-3.4129,121735.23,888285.147
300731.SZ,20260309,69.0,71.0,64.83,70.08,71.6,-1.52,-2.1229,116633.4,791020.455
300731.SZ,20260310,72.36,74.44,71.2,73.39,70.08,3.31,4.7232,118827.0,864961.192
300731.SZ,20260311,72.95,75.2,71.01,72.12,73.39,-1.27,-1.7305,125950.4,920457.442
300731.SZ,20260312,72.02,73.94,69.42,71.2,72.12,-0.92,-1.2757,97051.6,692279.976
300731.SZ,20260313,71.2,75.6,70.77,71.7,71.2,0.5,0.7022,145711.79,1066312.337
300731.SZ,20260316,71.35,73.93,66.78,73.8,71.7,2.1,2.9289,132122.2,918013.877
300731.SZ,20260317,80.0,80.66,70.8,71.43,73.8,-2.37,-3.2114,134517.14,1011324.324
300731.SZ,20260318,73.15,77.49,71.5,76.85,71.43,5.42,7.5878,162435.0,1225949.299
300731.SZ,20260319,76.11,79.08,72.9,73.5,76.85,-3.35,-4.3591,156603.33,1179813.684
300731.SZ,20260320,74.25,76.5,70.88,70.9,73.5,-2.6,-3.5374,122117.2,899407.292
300731.SZ,20260323,67.73,69.48,63.25,63.75,70.9,-7.15,-10.0846,112351.2,745435.947
300731.SZ,20260324,66.0,66.93,63.9,66.93,63.75,3.18,4.9882,74999.0,490398.053
300731.SZ,20260325,67.24,70.19,67.01,69.68,66.93,2.75,4.1088,102458.8,705582.769
300731.SZ,20260326,69.0,69.68,65.5,65.9,69.68,-3.78,-5.4248,70692.8,474367.718
300731.SZ,20260327,64.78,71.58,64.56,69.22,65.9,3.32,5.0379,112596.8,777698.933
300731.SZ,20260330,68.01,68.7,66.6,67.64,69.22,-1.58,-2.2826,56067.6,378038.721
300731.SZ,20260331,68.5,69.17,64.3,65.77,67.64,-1.87,-2.7646,73551.0,489116.694
300731.SZ,20260401,67.19,68.65,65.99,66.2,65.77,0.43,0.6538,69696.8,468048.424
300731.SZ,20260402,65.09,66.6,59.08,61.03,66.2,-5.17,-7.8097,113162.0,694585.678
300731.SZ,20260403,61.02,62.4,60.31,60.53,61.03,-0.5,-0.8193,61586.33,377119.2
300731.SZ,20260407,60.99,62.3,58.76,58.97,60.53,-1.56,-2.5772,55847.2,335266.031
300731.SZ,20260408,62.0,65.24,62.0,64.57,58.97,5.6,9.4964,112891.0,720399.868
300731.SZ,20260409,63.68,67.77,63.5,66.23,64.57,1.66,2.5709,95516.0,629268.076
300731.SZ,20260410,66.23,70.65,65.63,69.26,66.23,3.03,4.575,88316.0,610265.3
300731.SZ,20260413,70.73,73.11,69.94,71.3,69.26,2.04,2.9454,97121.6,694565.168
300731.SZ,20260414,71.66,74.96,70.8,74.36,71.3,3.06,4.2917,93339.6,682305.419
300731.SZ,20260415,74.32,75.92,73.11,73.82,74.36,-0.54,-0.7262,65558.6,487995.208
300731.SZ,20260416,73.96,75.66,73.51,75.26,73.82,1.44,1.9507,63935.0,479466.857
300731.SZ,20260417,74.84,77.0,71.8,76.98,75.26,1.72,2.2854,93790.74,700400.147
300731.SZ,20260420,78.35,82.8,77.06,77.75,76.98,0.77,1.0003,111715.14,888874.343
300731.SZ,20260421,75.34,76.89,73.6,74.43,77.75,-3.32,-4.2701,84412.79,630671.381
300731.SZ,20260422,74.06,75.75,72.02,74.71,74.43,0.28,0.3762,86498.0,639539.739
300731.SZ,20260423,74.99,75.17,71.55,71.84,74.71,-2.87,-3.8415,61556.0,448717.845
300731.SZ,20260424,72.43,72.76,70.33,71.89,71.84,0.05,0.0696,70407.4,500791.929
300731.SZ,20260427,72.31,73.73,67.44,67.65,71.89,-4.24,-5.8979,125924.0,884297.446
300731.SZ,20260428,67.37,71.8,67.02,69.15,67.65,1.5,2.2173,89173.0,616901.083
300731.SZ,20260429,67.32,74.52,67.2,70.55,69.15,1.4,2.0246,128918.85,932472.772
300731.SZ,20260430,70.88,70.93,68.91,70.56,70.55,0.01,0.0142,65212.25,455553.603
300731.SZ,20260506,70.93,75.0,70.0,73.49,70.56,2.93,4.1525,88349.45,643422.617
300731.SZ,20260507,73.6,75.6,71.81,75.53,73.49,2.04,2.7759,67166.0,498683.135
300731.SZ,20260508,74.77,77.7,74.0,77.15,75.53,1.62,2.1448,62452.0,476869.714
300731.SZ,20260511,77.14,79.28,75.7,76.68,77.15,-0.47,-0.6092,79106.0,612227.348
300731.SZ,20260512,76.89,81.2,73.96,78.98,76.68,2.3,2.9995,100724.27,778121.588
300731.SZ,20260513,78.98,82.14,78.02,82.14,78.98,3.16,4.001,82073.2,662688.761
300731.SZ,20260514,85.0,91.7,80.2,88.17,82.14,6.03,7.3411,134288.56,1185106.833
300731.SZ,20260515,88.3,89.88,85.06,85.78,88.17,-2.39,-2.7107,84653.74,742021.42
300731.SZ,20260518,85.5,89.2,82.89,85.8,85.78,0.02,0.0233,75655.82,648713.02
300731.SZ,20260519,85.8,90.09,83.4,90.0,85.8,4.2,4.8951,79555.28,691842.942
300731.SZ,20260520,88.57,94.96,87.98,94.6,90.0,4.6,5.1111,108678.85,996984.554
300731.SZ,20260521,93.93,95.13,85.42,85.7,94.6,-8.9,-9.408,93550.12,839436.1
